Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
4708,3700 Sqm Land, Ikeja Gra Ikeja Lagos,₦,"1,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4709,2000 Square Meter Land, Ikeja Gra Ikeja Lagos,₦,"750,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4710,3900 Sqm Land, Ikeja Gra Ikeja Lagos,₦,"850,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4711,2000 Square Meter Land, Ikeja Gra Ikeja Lagos,₦,"400,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4712,1000 Square Meters Land, Ikeja Gra Ikeja Lagos,₦,"200,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4713,500 Sqm Of Land, Ikeja Gra Ikeja Lagos,₦,"100,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4714,8000 Square Meters Of Land, Ikeja Gra Ikeja Lagos,₦,"1,400,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4715,4000 Sqm Land, Ikeja Gra Ikeja Lagos,₦,"700,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4716,500 Sqm Of Land, Ikeja Gra Ikeja Lagos,₦,"95,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4717,3700 Sqm Land, Ikeja Gra Ikeja Lagos,₦,"580,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4718,850 Sqm Of Land, Ikeja Gra Ikeja Lagos,₦,"150,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4719,Two Wings Of 12 Rooms Duplexes, Ikeja Gra Ikeja Lagos,₦,"560,000,000",0,0,0,10 beds,0 baths,0 Toilets,GRA
4720,Executive 5 Bedroom Fully Detached Duplex With Bq, Ikeja Gra Ikeja Lagos,₦,"150,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4721,5 Bedroom Semi Detached Duplex, Ikeja Gra Ikeja Lagos,₦,"100,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4722,Executive 4 Bedroom Terrace With Bq, Ikeja Gra Ikeja Lagos,₦,"72,000,000",0,0,0,4 beds,0 baths,0 Toilets,GRA
4723,Executive 3 Bedroom With Bq, Ikeja Gra Ikeja Lagos,₦,"70,000,000",0,0,0,3 beds,0 baths,0 Toilets,GRA
4724,Distress Sales A Plot Of Land Measuring 1400sqm At Omole Phase I,Omole Phase I Omole Ikeja Lagos,₦,"220,000,000",0,0,0,0 beds,0 baths,0 Toilets,Omole
4725,"A Plot Of Land Measuring 4000sqm(one Acre) Off Adeniyi Jones,ikeja.lagos",Off Adeniyi Jones Adeniyi Jones Ikeja Lagos,₦,"380,000,000",0,0,0, beds, baths, Toilets,Adeniyi Jones
4726,"Over Five Plots Of Land At Awuse Estate,opebi,ikeja.",Awuse Opebi Ikeja Lagos,₦,"35,000,000",0,0,0, beds, baths, Toilets,Opebi
4727,A Plot Of Land Measuring 5856sqm Fenced With Gate,Sasegbon Ikeja Gra Ikeja Lagos,₦,"1,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4728,8number Of 5 Bedrooms Terraces + 1 Room Bq, Adeniyi Jones Ikeja Lagos,₦,"80,000,000",0,0,0,5 beds,0 baths,0 Toilets,Adeniyi Jones
4729,Land," omole Phase 2, Ikeja Lagos",₦,"20,000,000",0,0,0,0 beds,0 baths,0 Toilets,Omole
4730,4 Bedroom Terrace Duplex With A Room Bq, Opebi Ikeja Lagos,₦,"68,000,000",0,0,0,4 beds,0 baths,0 Toilets,Opebi
4731,4 Bedroom Terrace Duplex, Adeniyi Jones Ikeja Lagos,₦,"70,000,000",0,0,0,4 beds,0 baths,0 Toilets,Adeniyi Jones
4732,4 Bedroom Terrace Duplex, Adeniyi Jones Ikeja Lagos,₦,"80,000,000",0,0,0,4 beds,0 baths,0 Toilets,Adeniyi Jones
4733,12 Rooms Functional Hotel, Opebi Ikeja Lagos,₦,"150,000,000",0,0,0,0 beds,0 baths,0 Toilets,Opebi
4734,Land, Adeniyi Jones Ikeja Lagos,₦,"380,000,000",0,0,0,0 beds,0 baths,0 Toilets,Adeniyi Jones
4735,4 Bedroom Detached Duplex, Allen Avenue Ikeja Lagos,₦,"65,000,000",0,0,0,4 beds,5 baths,5 Toilets,Allen Avenue
4736,Tastefully Finished And Furnished 30 Rooms Hotel, Allen Avenue Ikeja Lagos,₦,"350,000,000",0,0,0,0 beds,0 baths,0 Toilets,Allen Avenue
4737,Newly Built Terrace Duplex,Adeniyi Jones Adeniyi Jones Ikeja Lagos,₦,"70,000,000",0,0,0,4 beds,4 baths,5 Toilets,Adeniyi Jones
4738,Newly Built Terrace Duplex,Adeniyi Jones Adeniyi Jones Ikeja Lagos,₦,"80,000,000",0,0,0,4 beds,3 baths,5 Toilets,Adeniyi Jones
4739,5 Bedrooms With 2 Rooms Bq Detached Duplex, Ikeja Gra Ikeja Lagos,₦,"170,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4740,10 Bedrooms Detached House,Ogundana Street Allen Avenue Ikeja Lagos,₦,"150,000,000",0,0,0,10 beds,10 baths,10 Toilets,Allen Avenue
4741,Luxury Brand New Detached 5 Bedroom Duplex With 2 Rooms Bq,Boet Estate Adeniyi Jones Ikeja Lagos,₦,"140,000,000",0,0,0,5 beds,0 baths,0 Toilets,Adeniyi Jones
4742,Luxury Brand New Detached 5 Bedroom Duplex With 2rooms Bq, Adeniyi Jones Ikeja Lagos,₦,"140,000,000",0,0,0,5 beds,0 baths,0 Toilets,Adeniyi Jones
4743,Brand New 5 Bedroom Detached Duplex,Off Showemimo Ikeja Gra Ikeja Lagos,₦,"180,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4744,5 Bedroom Detached Duplex,Sobo Arobiodu Ikeja Gra Ikeja Lagos,₦,"220,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4745,Brand New 5 Bedroom Detached Duplex,Oba Dosumu Ikeja Gra Ikeja Lagos,₦,"200,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4746,Brand New 5 Bedroom Detached Duplex,Ayoola Coker Ikeja Gra Ikeja Lagos,₦,"180,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4747,Partially Furnished 5 Bedroom Detached Duplex With A Room Bq,Michael Ogun Ikeja Gra Ikeja Lagos,₦,"220,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
