Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
91,5 Bedroom Semi Detached Duplex With Elevator,Mojisola Onikoyi Estate Ikoyi Lagos,₦,"450,000,000",0,1,0,4 beds,5 baths,5 Toilets,Onikoyi
92,Lovely 3 Bedrooms Apartment,Ikoyi Lagos,₦,"195,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Ikoyi
93,Beautiful Luxury Fully Automated Apartments,Old Ikoyi Ikoyi Lagos,₦,"200,000,000",1,1,0,3 beds,4 baths,4 Toilets,Old Ikoyi
94,5 Bedroom Fully Detached Duplex With A Bq,Ikoyi Lagos,₦,"940,000,000",1,1,0,5 beds,5 baths,6 Toilets,Other Ikoyi
95,4 Bedroom Luxury Apartment At The Residence With 2 Servant Quaters,Banana Island Ikoyi Lagos,₦,"550,000,000",0,1,0,4 beds, baths, Toilets,Banana Island
96,5 Bedroom Detached Duplex With Bq,Banana Island Ikoyi Lagos,₦,"1,600,000,000",0,0,0,0 beds,0 baths,0 Toilets,Banana Island
97,Fully Automated Luxury With Bq,Old Ikoyi Ikoyi Lagos,₦,"250,000,000",1,1,0,4 beds,5 baths,5 Toilets,Old Ikoyi
98,4 Bedroom Fully Detached With Bq,Banana Island Road Banana Island Ikoyi Lagos,₦,"360,000,000",1,1,0,4 beds,5 baths,6 Toilets,Banana Island
99,4 Bedroom Townhouse,Ikoyi Lagos,₦,"420,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
100,Smart Luxury 5 Bedroom Detached Duplex,Old Ikoyi Ikoyi Lagos,₦,"950,000,000",0,0,0,0 beds,0 baths,0 Toilets,Old Ikoyi
101,Newly Built Fully Detached 4 Bedroom Duplex,Banana Island Road Banana Island Ikoyi Lagos,₦,"600,000,000",0,1,0,4 beds,5 baths,5 Toilets,Banana Island
102,Fully Serviced 4 Bedroom Luxuriously Finished,Ikoyi Lagos,₦,"350,000,000",1,1,0,4 beds,5 baths,5 Toilets,Other Ikoyi
103,A Newly Built & Tastefully Finished Luxury 5bedroom Fully Detached Duplex For Sale!!!!,Ikoyi Lagos,₦,"950,000,000",1,1,1,5 beds,5 baths,5 Toilets,Other Ikoyi
104,5 Bedroom House With 2 Rooms Bq,Shoreline Estate Ikoyi Lagos,₦,"400,000,000",0,1,0,5 beds,6 baths,6 Toilets,Other Ikoyi
105,Massive 6 Bedroom Fully Detached Duplex,Ikoyi Lagos,₦,"1,900,000,000",0,1,0,6 beds,7 baths,7 Toilets,Other Ikoyi
106,3 Bedroom Apartments With 1 Bq Are Located In A Secured Estate.,Parkview Estate Ikoyi Lagos,₦,"100,000,000",1,1,0,3 beds,4 baths,4 Toilets,Parkview
107,Brand New 3 Bedroom Flat With A Bq,Ikoyi Lagos,₦,"130,000,000",1,1,0,3 beds,4 baths,5 Toilets,Other Ikoyi
108,Ongoing 5 Bedroom House,"The Authograph, Banana Island Ikoyi Lagos",₦,"350,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
109,5bedroom Detached Duplex,Ikoyi Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
110,Newly Built 5 Bedroom Fully Detached House,Old Ikoyi Old Ikoyi Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,5 baths,6 Toilets,Old Ikoyi
111,Newly Built 4 Bedroom Terrace Houses With 1 Room Service Quarters,Banana Island Ikoyi Lagos,₦,"680,000,000",1,1,0,4 beds,4 baths,5 Toilets,Banana Island
112,26 Numbers Of Premium 3 Bedroom Apartments,Old Ikoyi Old Ikoyi Ikoyi Lagos,₦,"4,600,000,000",0,1,0,3 beds,3 baths,4 Toilets,Old Ikoyi
113,5 Bedroom Detached House + Bq + Pool Etc,Banana Island Estate Banana Island Ikoyi Lagos,₦,"950,000,000",1,0,0,5 beds,5 baths,6 Toilets,Banana Island
