Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
159,Remodeled 4 Bedroom Duplex With 2 Rooms Bq,Dolphin Estate Ikoyi Lagos,₦,"130,000,000",0,0,0,4 beds,4 baths,5 Toilets,Other Ikoyi
160,Newly Built Serviced 6 Bedroom Detached Duplex,Within Banana Island Estate Banana Island Ikoyi Lagos,₦,"900,000,000",0,0,0,6 beds,6 baths,7 Toilets,Banana Island
161,Luxurious Executive 4bedroom Terrace Duplex,Kingsley Road Ikoyi Ikoyi S.w Ikoyi Lagos,₦,"250,000,000",1,1,1,4 beds,4 baths,5 Toilets,Other Ikoyi
162,5 Bedroom Detached Duplex,Ikoyi Lagos,₦,"600,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
163,Luxury Furnished & Serviced 2bedroom Flat+ A Room Bq For Sale!!!,Gerard Road Ikoyi Lagos,₦,"170,000,000",1,1,1,2 beds,2 baths,2 Toilets,Other Ikoyi
164,Luxurious Executive 5 Bedroom Semi Detached Duplex,Banana Island Banana Island Ikoyi Lagos,₦,"600,000,000",1,1,0,5 beds,6 baths,6 Toilets,Banana Island
165,Luxury 2 Bedroom Apartments With An Elevator,Ikoyi Lagos,₦,"65,000,000",0,1,0,2 beds,2 baths,3 Toilets,Other Ikoyi
166,Automated 6 Bedroom With Pent House Duplex,Ikoyi Lagos,₦,"1,900,000,000",0,0,0,6 beds,6 baths,7 Toilets,Other Ikoyi
167,Well Maintained 4 Bedroom Duplex,Off Turnbull Road Old Ikoyi Ikoyi Lagos,₦,"250,000,000",0,0,0,4 beds,3 baths,4 Toilets,Old Ikoyi
168,Contemporary Massive 5 Bedroom Fully Detached Duplex,Bourdillon Ikoyi Lagos,₦,"900,000,000",0,1,0,5 beds,0 baths,0 Toilets,Other Ikoyi
169,Furnished 2 Bedroom Flat With B.q,Parkview Estate Ikoyi Lagos,₦,"120,000,000",1,1,1,2 beds,2 baths,3 Toilets,Parkview
170,26 Firmly Built Luxurious 3 Bedroom Apartments,Old Ikoyi Ikoyi Lagos,₦,"4,500,000,000",0,0,0,10 beds,10 baths,10 Toilets,Old Ikoyi
171,"Land 2,008sqm Land",Milverton Road* Off Bourdillon Road Ikoyi Lagos,₦,"770,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
172,Luxe 3 Bedroom Apartments,Old Ikoyi Ikoyi Lagos,₦,"180,000,000",1,1,0,3 beds,4 baths,5 Toilets,Old Ikoyi
173,Land,Within Banana Island Estate Banana Island Ikoyi Lagos,₦,"2,460,000,000",0,0,0,0 beds,0 baths,0 Toilets,Banana Island
174,For Sale 5 Bedroom Detached Duplex,Bourdillon Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,5 baths,7 Toilets,Other Ikoyi
175,Well Finished 4 Bedroom Semi Detached Duplex With Bq,Banana Island Ikoyi Lagos,₦,"500,000,000",0,1,0,4 beds,4 baths,5 Toilets,Banana Island
176,Executive Newly Build 6 Bedroom Fully Detached House,Banana Island Ikoyi Lagos,₦,"650,000,000",1,1,0,6 beds,6 baths,7 Toilets,Banana Island
177,Newly Built 6 Bedroom Fully Detached House,Banana Island Ikoyi Lagos,₦,"650,000,000",1,1,0,6 beds,6 baths,7 Toilets,Banana Island
178,New Executive 5 Bedroom Semi Detached House,Banana Island Ikoyi Lagos,₦,"550,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
179,New Amazing 5 Bedroom Semi Detached House,Banana Island Ikoyi Lagos,₦,"550,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
180,5 Bedroom Fully Detached House With Two B.q,Banana Island Ikoyi Lagos,₦,"550,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
181,Executive 5 Bedroom Fully Detached Duplex Available,Ikoyi Lagos,₦,"650,000,000",0,1,0,5 beds,6 baths,6 Toilets,Other Ikoyi
182,5bedroom Fully Detached Duplex With Swimming Pool And Jetty,Ikoyi Ikoyi Lagos,₦,"600,000,000",0,1,0,5 beds,5 baths,6 Toilets,Other Ikoyi
183,"Modern, Luxurious And Beautifully Finished 3 And 4 Bedrooms Flat",... Old Ikoyi Ikoyi Lagos,$,"1,500,000",1,1,0,4 beds,4 baths,5 Toilets,Old Ikoyi
184,3 Bedroom Flat,Off Kingsway Ikoyi Lagos,₦,"130,000,000",0,0,0,3 beds,0 baths,0 Toilets,Other Ikoyi
185,5 Bedroom Semi Detached Duplex For Sale!!!!,Mojisola Onireke Estate Banana Island Ikoyi Lagos,₦,"450,000,000",1,1,0,5 beds,6 baths,6 Toilets,Banana Island
186,New 3 Bedroom Apartment With Great Facilities,Off Alfred Rewane Road Old Ikoyi Ikoyi Lagos,₦,"190,000,000",0,0,0,3 beds,3 baths,4 Toilets,Old Ikoyi
187,4 Bedroom Penthouse Masionette,Ikoyi Lagos,₦,"180,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
188,Newly Built 4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,₦,"485,000,000",1,1,0,4 beds,4 baths,5 Toilets,Old Ikoyi
189,6 Bedroom Detached Duplex,Banana Island Ikoyi Lagos,₦,"650,000,000",1,1,0,6 beds,6 baths,7 Toilets,Banana Island
190,1134sqm Vacant Residential Land,Within Banana Island Estate Banana Island Ikoyi Lagos,₦,"1,360,000,000",0,0,0, beds, baths, Toilets,Banana Island
191,Beautiful 5 Bedroom Detached Duplex,Banana Island Ikoyi Lagos,₦,"800,000,000",0,1,0,5 beds,5 baths,6 Toilets,Banana Island
192,"Luxurious Units Of 2, 3 Bedroom Flats And 4 Bedroom Maisonette",Old Ikoyi Ikoyi Lagos,₦,"80,000,000",1,1,0,3 beds,3 baths,4 Toilets,Old Ikoyi
193,1938sqm Corner Piece Residential Land,Within Banana Island Estate Banana Island Ikoyi Lagos,₦,"2,520,000,000",0,0,0, beds, baths, Toilets,Banana Island
194,6 Bedroom Detached Duplex With Swimming Pool,Bourdillon Ikoyi Lagos,₦,"2,000,000,000",0,0,0,6 beds,6 baths,6 Toilets,Other Ikoyi
195,1002sqm Fenced Land For Residential Development,Off Alexander Avenue Old Ikoyi Ikoyi Lagos,₦,"850,000,000",0,0,0,0 beds,0 baths,0 Toilets,Old Ikoyi
196,5 Bedroom Fully Detached Smart House,Ikoyi Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
197,Fully Serviced 4 Bedroom Semi Detached Duplex,Z Ikoyi Lagos,₦,"300,000,000",1,1,0,4 beds,5 baths,5 Toilets,Other Ikoyi
198,3 Bedroom Apartment,S Parkview Estate Ikoyi Lagos,₦,"100,000,000",1,1,0,3 beds,4 baths,4 Toilets,Parkview
199,3 Bedroom Flat,Ikoyi Lagos,₦,"135,000,000",1,1,0,3 beds,3 baths,4 Toilets,Other Ikoyi
200,Land,Along Gerrard Road Old Ikoyi Ikoyi Lagos,₦,"1,750,000,000",0,0,0, beds, baths, Toilets,Old Ikoyi
201,New 4 Bedroom Duplex,Within Banana Island Estate Banana Island Ikoyi Lagos,₦,"500,000,000",0,0,0,4 beds,4 baths,5 Toilets,Banana Island
202,5 Bedroom Duplex With Lots Of Features,Old Ikoyi Ikoyi Lagos,₦,"920,000,000",0,1,0,5 beds,5 baths,6 Toilets,Old Ikoyi
203,Luxury 5bedroom Fully Detached Duplex For Sale!!!,Ikoyi Lagos,₦,"950,000,000",1,1,0,5 beds,5 baths,5 Toilets,Other Ikoyi
204,Amazing Newly Built 5 Bedroom Semi Detached House With Two Room's B.q,Banana Island Ikoyi Lagos,₦,"550,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
205,5 Bedroom Terrace House,Banana Island Ikoyi Lagos,₦,"680,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
206,Well Furnished 2 Bedroom With B.q,Parkview Estate Ikoyi Lagos,₦,"120,000,000",1,1,1,2 beds,2 baths,3 Toilets,Parkview
207,4bedroom Semi Detached Duplex,Ikoyi Lagos,₦,"180,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
208,4 Bedroom Terrace Duplex With Bq,Ikoyi Lagos,₦,"320,000,000",1,0,0,4 beds,4 baths,5 Toilets,Other Ikoyi
209,24 Units Of Luxury 3 Bedroom Apartment & 3 Penthouses,Ikoyi Lagos,₦,"5,500,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
210,5 Bedroom Fully Detached Duplex,A Very Nice Environment Ikoyi Lagos,₦,"850,000,000",0,1,0,5 beds,5 baths,6 Toilets,Other Ikoyi
211,Bare Land,Olori Mojisola Estate Banana Island Ikoyi Lagos,₦,"400,000,000",0,0,0,0 beds,0 baths,0 Toilets,Banana Island
212,Newly Build 5 Bedroom Terrace,Banana Island Ikoyi Lagos,₦,"680,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
213,Luxury Furnished 2 Bedroom With B.q,Parkview Estate Ikoyi Lagos,₦,"120,000,000",1,1,1,2 beds,2 baths,3 Toilets,Parkview
214,3 Bedroom Flat With A B.q,S Gerard Road Ikoyi Lagos,₦,"150,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Ikoyi
215,Fully Detached House With 1 Room Bq On 340sqm Land,Raymond Street Ikoyi S.w Ikoyi Lagos,₦,"300,000,000",0,0,0,4 beds,5 baths,5 Toilets,Other Ikoyi
216,5 Bedroom Luxury Penthouse Apartment,Old Ikoyi Ikoyi Lagos,₦,"700,000,000",1,1,0,5 beds,5 baths,7 Toilets,Old Ikoyi
217,Waterfront With Jetty 5 Bedroom Detached Duplex,Ikoyi Lagos,₦,"500,000,000",0,1,0,5 beds,5 baths,6 Toilets,Other Ikoyi
218,5 Bedroom Detached Duplex,Old Ikoyi Ikoyi Lagos,₦,"850,000,000",0,1,0,5 beds,5 baths,6 Toilets,Old Ikoyi
219,Luxury At Its Finest 4bedroom Maisonette.,Gerard Road Ikoyi Lagos,₦,"300,000,000",1,1,0,4 beds,5 baths,5 Toilets,Other Ikoyi
